the_review,topics
Warning....it interferes with other USB devices plugged in to same computer.,mouse
Mouse is a great bargain does everything it should do,headphone
"The reliable range is less than 18 inches.  At 4 feet, you usually have  to click repeatedly.  Control of the moving arrow was sporadic.  I thought something was wrong with my computer until I bought a new mouse, which works fine.",mouse
"Its nice not having to buy batteries all the time for my mouse. Only downside is when I don't move the mouse for a while, you have to click the button to wake it up, sometimes it clicks on the screen and clicks on something I didn't want to click on or open.Update: it died 3 months later. Not worth it.",mouse
"This mouse was great when it's working. I work from home and use my mouse frequently. I have to charge it once a day. I'm not sure if this is supposed to be normal, but my last wireless mouse did not need this much charging.",mouse
"Silent clicks, works great. Takes getting used to lower profile.Not having to worry about battery is golden.",mouse
"Looks cool, doesn't last.",mouse
"This mouse is a perfect companion for my Microsoft SurfacePro 6. I use this mouse for casual browsing as well as digital artwork and photo editing. The mouse feels nice and works well, especially for the price. I also love the option to have the RGB color mode on or off during use. Perfect little mouse for everyday use!",mouse
Battery life is so short it might as well be a wired mouse.  It charges with as USB cable. Dropped once and had to be glued back together.,mouse
"Like: design, look, feel, soft touch/silent 'click', sleep feature (single click to wake it up)Dislike: it loses the charge a bit quicker than I'd prefer but works wellEdited from original review --  would recommend",mouse
I love the fact that there are no batteries.  Just charge and go.,mouse
Prettiest mouse I've ever had.,mouse
"I have had this mouse for two weeks.  For the first few days it worked great.  Nothing has changed with my work setup, fresh batteries, clean underside with mouse pad and it continues to lag.  Disappointed in the product.",mouse
"I was naive and thought ""wireless"" meant ""bluetooth"", but it doesn't. Make sure you read everything carefully! The colours change really smoothly, though.",mouse
Easy to use. I have a mouse pad and moves pretty good over it and perfect fit in my hands. The quality of the product is good. The size is good fit to carry in hand or with laptop bag.,headphone
"This mouse is just right to fit my hand. Light weight , w/ pretty lights !",mouse
"I love my new mouse! Really like the low profile and the colorful lights. It was totally plug and play, with no problem. Very pleased with my purchase.",mouse
Great product. We use it mostly on our fire tablet and it works great!Only complaint is that there is not built in storage for the usb-c adapter.,mouse
"I like this mouse, works very good, the dpi button do it work. Is very silent, and you can turn off the color light. Very recommended.",mouse
I had a wireless mouse for over a year and found the it was very unstable and track even when not being moved. This one is solid as a rock.,mouse
"I fully charged the mouse, used once and then it quit working. It will still light up but no mouse on the screen.",mouse
"Love the slimline appearance and the changing colors. The colors add a sense of fun to a normally mundane piece of computer equipment. Also love the ability to keep it one color (red) or allow it to change colors and the ability to change the speed of the cursor. Good product, well designed. Make sure you are aware of the button on the bottom as it is not just an on/off switch, but has three positions. THIS IS NOW OCTOBER 2021, This mouse broke after little use while traveling. The scroll wheel broke inside the mouse making it useless. This appears to be a poor design and a weak point in this item and I would now not recommend it. I have had other computer mice for years without this issue.",mouse
This product works great!!,headphone
You can’t turn off the colors!!! It lights up the entire time you’re using it. I bought the white mouse of this brand and I love that one,mouse
